Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1671519945870, 285704, 418, 677, 656
1671519945883, 285717, 442, 640, 643
1671519945896, 285730, 483, 628, 647
1671519945909, 285743, 528, 663, 658
1671519945923, 285756, 571, 676, 640
1671519945935, 285769, 604, 688, 618
1671519945948, 285782, 625, 626, 611
1671519945961, 285795, 643, 588, 609
1671519945974, 285808, 662, 577, 614
1671519945987, 285821, 689, 579, 622
1671519946000, 285834, 709, 585, 603
1671519946013, 285847, 730, 572, 553
1671519946026, 285860, 736, 577, 492
1671519946039, 285873, 731, 565, 417
1671519946052, 285886, 748, 578, 346
1671519946065, 285899, 766, 583, 358
1671519946078, 285912, 791, 543, 398
1671519946091, 285925, 815, 464, 482
1671519946104, 285938, 854, 373, 552
1671519946117, 285951, 881, 318, 573
1671519946130, 285964, 914, 315, 565
1671519946143, 285977, 931, 337, 541
1671519946156, 285990, 937, 360, 473
1671519946169, 286003, 914, 363, 372
1671519946182, 286016, 886, 345, 277
1671519946195, 286029, 849, 312, 234
1671519946208, 286042, 842, 270, 172
1671519946221, 286055, 830, 204, 211
1671519946234, 286068, 822, 123, 203
1671519946247, 286081, 790, 91, 273
1671519946260, 286094, 803, 127, 284
1671519946273, 286107, 751, 130, 330
1671519946286, 286120, 723, 106, 359
1671519946299, 286133, 679, 104, 356
1671519946312, 286146, 630, 115, 323
1671519946325, 286159, 584, 139, 305
1671519946338, 286172, 543, 142, 257
1671519946351, 286185, 478, 133, 231
1671519946364, 286198, 400, 124, 228
1671519946377, 286211, 295, 147, 267
1671519946390, 286224, 234, 232, 326
1671519946403, 286237, 188, 282, 373
1671519946416, 286250, 151, 273, 339
1671519946429, 286263, 74, 226, 372
1671519946442, 286276, -15, 201, 428
1671519946455, 286289, -77, 227, 464
1671519946468, 286302, -159, 297, 535
1671519946481, 286315, -174, 406, 614
1671519946494, 286328, -249, 427, 630
1671519946507, 286341, -305, 459, 577
1671519946520, 286354, -354, 519, 581
1671519946533, 286367, -400, 633, 675
1671519946546, 286380, -383, 703, 763
1671519946559, 286393, -316, 732, 821
1671519946572, 286406, -297, 640, 818
1671519946585, 286419, -226, 532, 790
1671519946598, 286432, -225, 418, 730
1671519946611, 286445, -236, 355, 757
1671519946624, 286458, -238, 371, 865
1671519946637, 286471, -247, 521, 1044
1671519946650, 286484, -215, 712, 1183
1671519946663, 286497, -155, 778, 1094
1671519946676, 286510, -135, 781, 955
1671519946689, 286523, -152, 645, 824
1671519946702, 286536, -177, 474, 803
1671519946715, 286549, -148, 402, 834
1671519946728, 286562, -76, 516, 961
1671519946741, 286575, -10, 728, 1138
1671519946754, 286588, 40, 833, 1169
1671519946767, 286601, 26, 926, 1179
1671519946780, 286614, -1, 1013, 1140
1671519946793, 286627, 29, 866, 932
1671519946806, 286640, -64, 553, 844
1671519946819, 286653, -127, 325, 867
1671519946832, 286666, -130, 226, 935
1671519946845, 286679, -147, 216, 1092
1671519946858, 286692, -174, 280, 1221
1671519946871, 286705, -212, 322, 1204
1671519946884, 286718, -325, 353, 1124
1671519946897, 286731, -368, 429, 1128
1671519946910, 286744, -300, 522, 1245
1671519946923, 286757, -275, 466, 1616
1671519946936, 286770, -273, 372, 1789
1671519946949, 286783, -295, 200, 1672
1671519946962, 286796, -328, 61, 1420
1671519946975, 286809, -341, -48, 1178
1671519946989, 286822, -368, -136, 1127
1671519947001, 286835, -322, -83, 1260
1671519947014, 286848, -233, 102, 1413
1671519947027, 286861, -173, 256, 1494
1671519947040, 286874, -179, 267, 1440
1671519947053, 286887, -181, 274, 1332
1671519947066, 286900, -133, 292, 1281
1671519947079, 286913, -84, 265, 1234
1671519947092, 286926, -45, 215, 1181
1671519947105, 286939, -23, 185, 1156
1671519947118, 286952, 18, 220, 1150
1671519947131, 286965, 71, 288, 1176
1671519947144, 286978, 120, 296, 1156
1671519947157, 286991, 114, 295, 1222
1671519947170, 287004, 137, 307, 1271
1671519947183, 287017, 141, 269, 1325
1671519947196, 287030, 161, 198, 1362
1671519947209, 287043, 192, 141, 1345
1671519947222, 287056, 239, 63, 1294
1671519947235, 287069, 290, 93, 1291
1671519947248, 287082, 400, 164, 1245
1671519947261, 287095, 364, 25, 1150
1671519947274, 287108, 450, -90, 993
1671519947288, 287121, 541, -141, 956
1671519947300, 287134, 645, -114, 966
1671519947313, 287147, 726, -47, 973
1671519947326, 287160, 780, 23, 969
1671519947339, 287173, 765, 54, 920
1671519947352, 287186, 780, 95, 830
1671519947365, 287199, 823, 89, 701
1671519947378, 287212, 860, 0, 546
1671519947391, 287225, 872, -35, 453
1671519947404, 287238, 872, 27, 483
1671519947417, 287251, 907, 123, 464
1671519947430, 287264, 857, 200, 544
1671519947443, 287277, 824, 268, 609
1671519947456, 287290, 800, 332, 635
1671519947469, 287303, 780, 390, 610
1671519947482, 287316, 752, 411, 582
1671519947495, 287329, 712, 371, 498
1671519947508, 287342, 656, 308, 452
1671519947521, 287355, 645, 279, 413
1671519947534, 287368, 634, 304, 406
1671519947547, 287381, 669, 374, 389
1671519947560, 287394, 661, 374, 383
1671519947573, 287407, 644, 351, 350
1671519947587, 287420, 627, 314, 306
1671519947599, 287433, 604, 280, 285
1671519947612, 287446, 618, 260, 265
1671519947625, 287459, 586, 226, 317
1671519947638, 287472, 554, 130, 384
1671519947651, 287485, 534, 111, 393
1671519947664, 287498, 512, 124, 432
1671519947677, 287511, 550, 200, 372
1671519947690, 287524, 509, 240, 354
1671519947703, 287537, 477, 278, 323
1671519947716, 287550, 437, 306, 355
1671519947729, 287563, 411, 324, 373
1671519947743, 287576, 393, 337, 376
1671519947755, 287589, 384, 358, 373
1671519947768, 287602, 422, 365, 292
1671519947781, 287615, 374, 346, 285
1671519947794, 287628, 372, 384, 328
1671519947807, 287641, 360, 390, 349
1671519947820, 287654, 335, 394, 378
1671519947833, 287667, 341, 402, 347
1671519947846, 287680, 331, 373, 302
1671519947859, 287693, 306, 347, 270
1671519947872, 287706, 240, 328, 299
1671519947885, 287719, 215, 383, 384
