Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1671519960872, 300706, -150, 942, 896
1671519960885, 300719, -184, 998, 906
1671519960898, 300732, -224, 1048, 883
1671519960911, 300745, -288, 1053, 844
1671519960924, 300758, -334, 1031, 786
1671519960937, 300771, -356, 1008, 699
1671519960950, 300784, -374, 966, 634
1671519960963, 300797, -379, 917, 564
1671519960976, 300810, -367, 893, 526
1671519960989, 300823, -384, 873, 564
1671519961002, 300836, -376, 818, 622
1671519961015, 300849, -376, 737, 625
1671519961028, 300862, -293, 671, 702
1671519961041, 300875, -249, 554, 750
1671519961054, 300888, -194, 430, 730
1671519961067, 300901, -137, 373, 660
1671519961080, 300914, -105, 355, 578
1671519961093, 300927, -79, 385, 521
1671519961106, 300940, -72, 391, 441
1671519961119, 300953, -45, 393, 369
1671519961132, 300966, 5, 416, 307
1671519961145, 300979, 46, 420, 296
1671519961158, 300992, 84, 431, 298
1671519961171, 301005, 101, 433, 277
1671519961184, 301018, 119, 428, 260
1671519961197, 301031, 138, 425, 234
1671519961210, 301044, 165, 415, 203
1671519961223, 301057, 199, 426, 171
1671519961236, 301070, 224, 429, 148
1671519961249, 301083, 219, 430, 182
1671519961262, 301096, 233, 413, 235
1671519961275, 301109, 264, 420, 269
1671519961288, 301122, 304, 385, 263
1671519961301, 301135, 331, 317, 234
1671519961314, 301148, 337, 280, 241
1671519961327, 301161, 349, 303, 287
1671519961340, 301174, 374, 319, 346
1671519961353, 301187, 423, 323, 398
1671519961366, 301200, 482, 323, 420
1671519961379, 301213, 543, 268, 388
1671519961392, 301226, 576, 167, 393
1671519961405, 301239, 586, 93, 450
1671519961418, 301252, 590, 62, 531
1671519961431, 301265, 548, 98, 678
1671519961444, 301278, 539, 118, 774
1671519961457, 301291, 504, 97, 821
1671519961470, 301304, 442, 123, 922
1671519961483, 301317, 358, 170, 1077
1671519961496, 301330, 321, 265, 1210
1671519961509, 301343, 316, 369, 1287
1671519961522, 301356, 275, 363, 1272
1671519961535, 301369, 227, 282, 1165
1671519961548, 301382, 212, 225, 1125
1671519961561, 301395, 144, 193, 1161
1671519961574, 301408, 68, 192, 1259
1671519961587, 301421, 18, 319, 1384
1671519961600, 301434, -2, 493, 1435
1671519961613, 301447, -28, 597, 1476
1671519961626, 301460, -130, 580, 1239
1671519961639, 301473, -173, 546, 1291
