Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1671519843564, 183394, 227, 525, 602
1671519843577, 183407, 246, 511, 654
1671519843591, 183420, 230, 540, 634
1671519843603, 183433, 221, 510, 615
1671519843616, 183446, 196, 466, 593
1671519843629, 183459, 215, 489, 529
1671519843643, 183472, 213, 494, 527
1671519843656, 183485, 192, 487, 533
1671519843669, 183498, 186, 497, 525
1671519843682, 183511, 186, 503, 521
1671519843695, 183524, 189, 487, 517
1671519843708, 183537, 189, 450, 518
1671519843721, 183550, 195, 410, 495
1671519843734, 183563, 185, 350, 449
1671519843747, 183576, 173, 293, 400
1671519843760, 183589, 158, 252, 341
1671519843773, 183602, 117, 212, 267
1671519843786, 183615, 94, 183, 159
1671519843799, 183628, 57, 184, 89
1671519843812, 183641, 14, 216, -79
1671519843825, 183654, -42, 205, -271
1671519843838, 183667, -101, 190, -374
1671519843851, 183680, -47, 234, -317
1671519843864, 183693, 13, 109, -60
1671519843877, 183706, -2, -83, 257
1671519843890, 183719, -35, -231, 343
1671519843903, 183732, -100, -387, 327
1671519843916, 183745, -280, -329, 666
1671519843929, 183758, -565, -493, 1383
1671519843942, 183771, -552, -363, 1659
1671519843955, 183784, -566, -164, 1769
1671519843968, 183797, -621, -146, 1683
1671519843981, 183810, -798, -288, 1708
1671519843994, 183823, -856, -346, 1940
1671519844007, 183836, -894, -396, 2215
1671519844020, 183849, -784, -457, 2500
1671519844033, 183862, -1108, -240, 4289
1671519844046, 183875, -1007, -636, 3015
1671519844059, 183888, -962, -698, 2161
1671519844071, 183901, -799, -391, 1717
1671519844084, 183914, -660, -206, 1371
1671519844098, 183927, -599, -123, 1175
1671519844110, 183940, -563, -150, 912
1671519844123, 183953, -499, -76, 778
1671519844136, 183966, -475, -73, 828
1671519844149, 183979, -549, -152, 860
1671519844162, 183992, -555, -170, 1023
1671519844175, 184005, -541, -172, 1137
1671519844188, 184018, -498, -233, 1219
1671519844201, 184031, -490, -326, 1366
1671519844214, 184044, -450, -352, 1582
1671519844227, 184057, -392, -240, 1865
1671519844240, 184070, -389, -175, 1940
1671519844253, 184083, -411, -125, 1753
1671519844266, 184096, -438, -80, 1499
1671519844279, 184109, -435, 60, 1387
1671519844292, 184122, -350, 218, 1381
1671519844305, 184135, -288, 297, 1353
1671519844318, 184148, -246, 331, 1244
1671519844331, 184161, -248, 267, 1186
1671519844344, 184174, -230, 249, 1125
1671519844357, 184187, -186, 234, 1062
1671519844370, 184200, -153, 173, 973
1671519844383, 184213, -139, 88, 854
1671519844396, 184226, -142, 74, 717
1671519844409, 184239, -108, 36, 517
1671519844422, 184252, -96, 48, 384
1671519844435, 184265, -37, 77, 252
1671519844448, 184278, -28, 113, 173
1671519844461, 184291, 30, 186, 130
1671519844474, 184304, 49, 231, 119
1671519844487, 184317, 67, 276, 126
1671519844500, 184330, 109, 308, 135
1671519844513, 184343, 146, 350, 191
1671519844526, 184356, 191, 373, 263
1671519844539, 184369, 165, 373, 340
1671519844552, 184382, 157, 384, 384
1671519844565, 184395, 168, 384, 398
1671519844578, 184408, 180, 437, 412
1671519844591, 184421, 200, 466, 428
1671519844604, 184434, 203, 487, 453
1671519844617, 184447, 225, 488, 502
1671519844630, 184460, 237, 483, 564
1671519844643, 184473, 274, 469, 592
1671519844656, 184486, 293, 464, 584
1671519844669, 184499, 300, 447, 563
1671519844682, 184512, 305, 454, 533
1671519844695, 184525, 299, 509, 511
1671519844708, 184538, 292, 552, 513
1671519844721, 184551, 281, 582, 556
1671519844734, 184564, 289, 597, 619
1671519844747, 184577, 304, 602, 678
1671519844760, 184590, 309, 598, 697
1671519844773, 184603, 311, 598, 696
1671519844786, 184616, 346, 613, 678
1671519844799, 184629, 374, 660, 673
1671519844812, 184642, 351, 674, 700
1671519844825, 184655, 351, 686, 724
1671519844838, 184668, 356, 673, 743
1671519844851, 184681, 329, 647, 733
1671519844864, 184694, 314, 627, 715
