Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1671519860632, 200463, 603, 457, 442
1671519860646, 200476, 532, 495, 559
1671519860658, 200489, 369, 348, 545
1671519860671, 200502, 255, 251, 486
1671519860684, 200515, 182, 203, 467
1671519860698, 200528, 57, 131, 537
1671519860711, 200541, -74, 105, 676
1671519860723, 200554, -42, 133, 830
1671519860736, 200567, 32, 182, 990
1671519860750, 200580, 44, 147, 1186
1671519860762, 200593, 41, 58, 1224
1671519860775, 200606, -14, -6, 1127
1671519860788, 200619, -11, 2, 996
1671519860801, 200632, -23, 67, 900
1671519860814, 200645, 5, 167, 852
1671519860828, 200658, -14, 211, 963
1671519860841, 200671, 0, 227, 1101
1671519860854, 200684, -1, 147, 1140
1671519860866, 200697, 12, 77, 1172
1671519860879, 200710, 5, 51, 1182
1671519860893, 200723, 11, 70, 1156
1671519860906, 200736, -13, 124, 1121
1671519860919, 200749, -6, 192, 1033
1671519860932, 200762, -46, 219, 1054
1671519860945, 200775, -129, 233, 1136
1671519860958, 200788, -85, 318, 1122
1671519860971, 200801, -32, 392, 1072
1671519860984, 200814, -37, 344, 1006
1671519860997, 200827, -62, 294, 990
1671519861010, 200840, -83, 310, 1022
1671519861023, 200853, -80, 343, 1025
1671519861036, 200866, -77, 399, 1064
1671519861049, 200879, -87, 401, 1103
1671519861062, 200892, -113, 339, 1098
1671519861075, 200905, -104, 324, 1073
1671519861088, 200918, -94, 328, 1052
1671519861101, 200931, -74, 321, 1040
1671519861114, 200944, -68, 328, 1052
1671519861127, 200957, -85, 325, 1045
1671519861140, 200970, -99, 339, 1037
1671519861153, 200983, -98, 367, 1022
1671519861166, 200996, -112, 361, 1017
1671519861179, 201009, -128, 337, 1025
1671519861192, 201022, -109, 338, 995
1671519861205, 201035, -110, 370, 1008
1671519861218, 201048, -54, 398, 982
1671519861231, 201061, -57, 403, 999
1671519861244, 201074, -61, 388, 993
1671519861257, 201087, -54, 400, 988
1671519861270, 201100, -45, 386, 956
1671519861283, 201113, -39, 364, 905
1671519861296, 201126, -42, 329, 863
1671519861309, 201139, -33, 351, 836
1671519861322, 201152, -2, 389, 826
1671519861335, 201165, 18, 447, 850
1671519861348, 201178, 30, 461, 898
1671519861361, 201191, 58, 473, 913
1671519861374, 201204, 77, 438, 884
1671519861387, 201217, 129, 436, 807
1671519861400, 201230, 162, 397, 740
1671519861413, 201243, 202, 347, 706
1671519861426, 201256, 237, 325, 667
1671519861439, 201269, 293, 347, 661
1671519861452, 201282, 361, 341, 632
1671519861465, 201295, 424, 334, 595
1671519861478, 201308, 489, 333, 544
1671519861491, 201321, 567, 361, 528
1671519861504, 201334, 599, 314, 516
1671519861517, 201347, 648, 316, 478
1671519861530, 201360, 681, 293, 472
1671519861543, 201373, 732, 298, 495
1671519861556, 201386, 763, 335, 521
1671519861569, 201399, 807, 358, 506
1671519861582, 201412, 807, 386, 541
1671519861595, 201425, 828, 408, 533
1671519861608, 201438, 822, 387, 551
1671519861621, 201451, 783, 341, 560
1671519861634, 201464, 773, 327, 571
1671519861647, 201477, 783, 345, 577
1671519861660, 201490, 773, 388, 609
1671519861673, 201503, 759, 420, 609
1671519861686, 201516, 713, 433, 607
1671519861699, 201529, 657, 438, 626
1671519861712, 201542, 602, 450, 637
1671519861725, 201555, 562, 477, 636
1671519861738, 201568, 557, 530, 644
1671519861751, 201581, 540, 569, 682
1671519861764, 201594, 509, 577, 716
1671519861777, 201607, 467, 570, 739
1671519861790, 201620, 454, 565, 748
1671519861803, 201633, 436, 524, 785
1671519861816, 201646, 429, 487, 794
