Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1671519919104, 258937, 484, 659, 910
1671519919117, 258950, 525, 722, 921
1671519919130, 258963, 563, 776, 904
1671519919143, 258976, 599, 787, 892
1671519919156, 258989, 616, 746, 838
1671519919169, 259002, 592, 666, 746
1671519919182, 259015, 574, 619, 641
1671519919195, 259028, 630, 639, 528
1671519919208, 259041, 652, 663, 554
1671519919221, 259054, 671, 650, 596
1671519919234, 259067, 630, 553, 543
1671519919247, 259080, 633, 509, 467
1671519919260, 259093, 645, 523, 442
1671519919273, 259106, 627, 529, 462
1671519919286, 259119, 680, 550, 457
1671519919299, 259132, 695, 505, 419
1671519919312, 259145, 704, 492, 437
1671519919325, 259158, 641, 427, 420
1671519919338, 259171, 574, 394, 330
1671519919351, 259184, 474, 402, 286
1671519919364, 259197, 378, 410, 273
1671519919377, 259210, 300, 377, 301
1671519919390, 259223, 239, 375, 363
1671519919403, 259236, 217, 363, 483
1671519919416, 259249, 170, 254, 584
1671519919429, 259262, 115, 200, 569
1671519919442, 259275, 102, 203, 480
1671519919455, 259288, 28, 180, 396
1671519919468, 259301, 63, 210, 266
1671519919481, 259314, -233, 320, 432
1671519919494, 259327, -309, 356, 635
1671519919507, 259340, -347, 250, 884
1671519919520, 259353, -275, 129, 1091
1671519919534, 259366, -342, -222, 1041
1671519919546, 259379, -362, -327, 999
1671519919559, 259392, -342, -216, 911
1671519919572, 259405, -413, 4, 954
1671519919585, 259418, -542, 219, 1004
1671519919598, 259431, -630, 368, 1135
1671519919611, 259444, -639, 361, 1269
1671519919624, 259457, -610, 203, 1283
1671519919637, 259470, -627, 136, 1314
1671519919650, 259483, -609, 157, 1263
1671519919663, 259496, -585, 250, 1206
1671519919676, 259509, -573, 365, 1107
1671519919689, 259522, -571, 511, 1059
1671519919702, 259535, -642, 679, 1176
1671519919715, 259548, -646, 765, 1195
1671519919728, 259561, -647, 750, 1192
1671519919741, 259574, -633, 712, 1198
1671519919754, 259587, -605, 642, 1179
1671519919767, 259600, -596, 574, 1221
1671519919780, 259613, -587, 516, 1274
1671519919793, 259626, -559, 524, 1279
1671519919806, 259639, -518, 538, 1287
1671519919819, 259652, -504, 558, 1301
1671519919832, 259665, -486, 534, 1239
1671519919845, 259678, -487, 480, 1207
1671519919859, 259691, -471, 430, 1129
1671519919871, 259704, -426, 398, 1007
1671519919884, 259717, -405, 353, 914
1671519919897, 259730, -335, 308, 865
1671519919910, 259743, -281, 269, 859
1671519919923, 259756, -222, 276, 840
1671519919936, 259769, -202, 261, 795
1671519919949, 259782, -188, 279, 771
1671519919962, 259795, -158, 327, 732
1671519919975, 259808, -113, 386, 696
1671519919988, 259821, -42, 418, 652
1671519920001, 259834, 48, 431, 616
1671519920014, 259847, 47, 384, 596
1671519920027, 259860, 55, 353, 561
1671519920040, 259873, 98, 282, 498
1671519920053, 259886, 177, 257, 445
1671519920066, 259899, 294, 273, 428
1671519920079, 259912, 403, 268, 478
1671519920092, 259925, 516, 332, 520
1671519920105, 259938, 575, 340, 462
1671519920118, 259951, 560, 305, 475
1671519920131, 259964, 662, 348, 407
1671519920144, 259977, 692, 444, 469
1671519920157, 259990, 726, 486, 534
1671519920170, 260003, 746, 487, 582
1671519920183, 260016, 796, 487, 547
1671519920196, 260029, 781, 457, 496
1671519920209, 260042, 772, 392, 452
1671519920222, 260055, 786, 357, 479
1671519920235, 260068, 766, 419, 626
1671519920248, 260081, 789, 495, 675
1671519920261, 260094, 748, 562, 764
1671519920274, 260107, 689, 566, 763
1671519920287, 260120, 669, 534, 651
1671519920300, 260133, 610, 476, 665
1671519920313, 260146, 631, 469, 621
1671519920326, 260159, 623, 525, 702
1671519920339, 260172, 620, 587, 704
1671519920352, 260185, 574, 609, 728
1671519920365, 260198, 519, 626, 723
1671519920378, 260211, 483, 655, 637
1671519920391, 260224, 492, 657, 666
1671519920404, 260237, 457, 592, 631
1671519920417, 260250, 412, 557, 639
1671519920430, 260263, 397, 582, 617
1671519920443, 260276, 367, 605, 620
1671519920456, 260289, 339, 614, 614
1671519920469, 260302, 313, 634, 639
1671519920482, 260315, 306, 668, 689
1671519920495, 260328, 293, 676, 727
1671519920508, 260341, 290, 662, 732
1671519920521, 260354, 287, 652, 742
1671519920534, 260367, 255, 617, 744
1671519920547, 260380, 241, 621, 762
1671519920560, 260393, 211, 635, 792
1671519920573, 260406, 199, 650, 828
1671519920586, 260419, 194, 659, 840
