Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1671519825040, 164869, 108, 604, 815
1671519825053, 164882, 119, 590, 798
1671519825066, 164895, 118, 559, 781
1671519825079, 164908, 110, 530, 767
1671519825092, 164921, 111, 532, 771
1671519825105, 164934, 107, 527, 780
1671519825118, 164947, 101, 540, 813
1671519825131, 164960, 121, 574, 831
1671519825144, 164973, 124, 573, 842
1671519825157, 164986, 112, 572, 830
1671519825170, 164999, 120, 578, 803
1671519825183, 165012, 116, 535, 780
1671519825196, 165025, 100, 511, 784
1671519825209, 165038, 121, 540, 814
1671519825222, 165051, 124, 577, 870
1671519825235, 165064, 132, 596, 905
1671519825248, 165077, 131, 572, 904
1671519825261, 165090, 122, 542, 911
1671519825274, 165103, 117, 553, 920
1671519825287, 165116, 116, 618, 1017
1671519825300, 165129, 153, 693, 1107
1671519825313, 165142, 160, 718, 1173
1671519825326, 165155, 153, 817, 1234
1671519825339, 165168, 97, 935, 1244
1671519825352, 165181, 93, 1011, 1197
1671519825365, 165194, 72, 1042, 1219
1671519825378, 165207, 76, 1050, 1293
1671519825391, 165220, 103, 1047, 1295
1671519825404, 165233, 88, 1029, 1235
1671519825417, 165246, 43, 1018, 1118
1671519825430, 165259, 29, 1086, 1053
1671519825444, 165272, -15, 1191, 1124
1671519825456, 165285, -45, 1322, 1235
1671519825469, 165298, -53, 1409, 1375
1671519825482, 165311, 3, 1426, 1338
1671519825495, 165324, 30, 1297, 1259
1671519825508, 165337, 64, 1071, 1104
1671519825520, 165350, 90, 821, 998
1671519825534, 165363, 185, 648, 882
1671519825547, 165376, 218, 581, 784
1671519825560, 165389, 196, 508, 656
1671519825573, 165402, 118, 381, 614
1671519825586, 165415, 116, 263, 448
1671519825599, 165428, 151, 118, 268
1671519825612, 165441, 168, -40, 121
1671519825625, 165454, 160, -142, 45
1671519825637, 165467, 185, -48, 65
1671519825651, 165480, 124, -116, 140
1671519825664, 165493, 175, -33, 272
1671519825677, 165506, 193, 34, 347
1671519825689, 165519, 211, 12, 296
1671519825703, 165532, 270, -45, 103
1671519825716, 165545, 296, -103, 5
1671519825728, 165558, 292, -83, 10
1671519825741, 165571, 306, -3, 41
1671519825754, 165584, 312, 104, 59
1671519825768, 165597, 265, 129, 30
1671519825780, 165610, 258, 180, -29
1671519825794, 165623, 226, 200, -31
1671519825807, 165636, 227, 174, -49
1671519825819, 165649, 245, 196, -4
1671519825832, 165662, 238, 181, 29
1671519825845, 165675, 280, 221, 23
1671519825859, 165688, 273, 251, 24
1671519825871, 165701, 249, 260, -2
1671519825885, 165714, 202, 223, -11
1671519825898, 165727, 144, 167, 12
1671519825911, 165740, 127, 137, 38
1671519825924, 165753, 135, 161, 134
1671519825937, 165766, 152, 149, 195
1671519825951, 165779, 191, 155, 189
1671519825963, 165792, 234, 176, 242
1671519825976, 165805, 208, 165, 271
1671519825988, 165818, 134, 193, 442
1671519826002, 165831, 130, 404, 685
1671519826015, 165844, 196, 718, 998
1671519826028, 165857, 305, 919, 1112
1671519826041, 165870, 253, 791, 994
1671519826055, 165883, 210, 656, 1056
1671519826067, 165896, 203, 646, 1222
1671519826080, 165909, 210, 721, 1350
1671519826094, 165922, 192, 896, 1504
1671519826106, 165935, 249, 1094, 1564
1671519826119, 165948, 212, 1171, 1413
1671519826132, 165961, 217, 1147, 1229
1671519826145, 165974, 113, 1085, 1224
1671519826158, 165987, 100, 1117, 1278
1671519826171, 166000, 149, 1149, 1316
1671519826184, 166013, 201, 1110, 1268
1671519826197, 166026, 233, 1015, 1155
1671519826210, 166039, 182, 892, 1077
1671519826223, 166052, 177, 864, 1014
1671519826236, 166065, 191, 879, 1035
1671519826249, 166078, 201, 867, 1067
1671519826262, 166091, 215, 787, 1067
1671519826276, 166104, 239, 688, 1043
1671519826288, 166117, 202, 568, 1005
1671519826301, 166130, 202, 516, 941
1671519826314, 166143, 153, 460, 932
1671519826327, 166156, 168, 475, 880
1671519826340, 166169, 155, 491, 868
1671519826353, 166182, 162, 479, 847
1671519826366, 166195, 160, 493, 822
1671519826379, 166208, 166, 511, 808
1671519826392, 166221, 138, 536, 789
1671519826405, 166234, 118, 575, 782
1671519826418, 166247, 109, 632, 811
1671519826431, 166260, 112, 667, 859
1671519826444, 166273, 121, 673, 856
1671519826457, 166286, 138, 640, 819
1671519826470, 166299, 147, 587, 781
1671519826483, 166312, 131, 532, 778
1671519826496, 166325, 141, 541, 795
1671519826509, 166338, 137, 606, 829
1671519826522, 166351, 132, 640, 837
1671519826535, 166364, 132, 640, 820
1671519826548, 166377, 134, 632, 796
1671519826561, 166390, 139, 615, 785
1671519826574, 166403, 144, 565, 749
1671519826587, 166416, 154, 520, 686
1671519826600, 166429, 161, 477, 617
1671519826613, 166442, 151, 443, 572
1671519826626, 166455, 125, 459, 570
1671519826639, 166468, 129, 530, 623
1671519826652, 166481, 137, 563, 713
1671519826665, 166494, 148, 562, 763
1671519826678, 166507, 145, 543, 752
1671519826691, 166520, 156, 516, 747
1671519826704, 166533, 146, 496, 729
1671519826717, 166546, 160, 481, 695
1671519826730, 166559, 156, 487, 728
1671519826743, 166572, 150, 524, 798
1671519826756, 166585, 151, 570, 858
1671519826769, 166598, 149, 611, 905
1671519826782, 166611, 143, 637, 948
1671519826795, 166624, 160, 678, 950
1671519826808, 166637, 167, 657, 915
