Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1672165259634, 235420, 145, 969, 11
1672165259648, 235433, 135, 954, 1
1672165259660, 235446, 123, 946, -10
1672165259674, 235459, 115, 955, -11
1672165259686, 235472, 113, 979, -16
1672165259700, 235485, 110, 1016, -14
1672165259711, 235498, 115, 1026, -14
1672165259724, 235511, 116, 1038, -13
1672165259737, 235524, 130, 1040, -23
1672165259750, 235537, 149, 1030, -37
1672165259764, 235550, 163, 1003, -44
1672165259776, 235563, 175, 1012, -17
1672165259789, 235576, 197, 1015, -24
1672165259802, 235589, 204, 1018, -25
1672165259816, 235602, 212, 1011, -23
1672165259828, 235615, 216, 1020, -23
1672165259841, 235628, 232, 1044, -11
1672165259854, 235641, 233, 1037, 29
1672165259868, 235654, 243, 1020, -9
1672165259881, 235667, 256, 1018, -33
1672165259893, 235680, 270, 991, -38
1672165259906, 235693, 275, 977, -20
1672165259919, 235706, 287, 967, 0
1672165259933, 235719, 277, 958, 1
1672165259946, 235732, 279, 964, -22
1672165259958, 235745, 281, 952, -22
1672165259971, 235758, 292, 931, -27
1672165259985, 235771, 285, 897, -38
1672165259998, 235784, 286, 871, -54
1672165260011, 235797, 288, 885, -46
1672165260023, 235810, 278, 879, -30
1672165260037, 235823, 277, 873, -21
1672165260050, 235836, 254, 872, -17
1672165260062, 235849, 263, 879, -21
1672165260075, 235862, 255, 855, 1
1672165260089, 235875, 254, 839, -11
1672165260101, 235888, 248, 844, -19
1672165260115, 235901, 245, 826, -14
1672165260128, 235914, 244, 803, -30
1672165260140, 235927, 224, 800, -33
1672165260154, 235940, 213, 802, -37
1672165260166, 235953, 193, 801, -16
1672165260179, 235966, 177, 837, -4
1672165260192, 235979, 162, 862, 8
1672165260205, 235992, 158, 859, 13
1672165260219, 236005, 167, 809, 5
1672165260232, 236018, 167, 762, -34
1672165260245, 236031, 160, 709, -72
1672165260257, 236044, 132, 692, -73
1672165260270, 236057, 97, 746, -38
1672165260283, 236070, 66, 793, 0
1672165260296, 236083, 33, 827, 52
1672165260310, 236096, 22, 846, 50
1672165260322, 236109, 28, 863, 49
1672165260335, 236122, 38, 798, 47
1672165260349, 236135, 52, 690, 44
1672165260361, 236148, 45, 597, 9
1672165260374, 236161, 11, 599, 19
1672165260387, 236174, -60, 703, 85
1672165260401, 236187, -138, 851, 186
1672165260414, 236200, -181, 981, 244
1672165260427, 236213, -183, 959, 250
1672165260440, 236226, -150, 851, 181
1672165260453, 236239, -136, 813, 147
1672165260466, 236252, -167, 745, 119
1672165260479, 236265, -226, 753, 115
1672165260492, 236278, -259, 930, 215
1672165260505, 236291, -270, 1023, 317
1672165260518, 236304, -270, 987, 350
1672165260531, 236317, -243, 937, 286
1672165260544, 236330, -213, 855, 169
1672165260557, 236343, -261, 745, 131
1672165260570, 236356, -261, 829, 186
1672165260583, 236369, -313, 885, 138
1672165260596, 236382, -371, 984, 235
1672165260609, 236395, -371, 1050, 272
1672165260622, 236408, -343, 1002, 278
1672165260635, 236421, -320, 915, 270
1672165260648, 236434, -321, 878, 280
1672165260661, 236447, -353, 926, 249
1672165260674, 236460, -373, 1050, 248
1672165260687, 236473, -357, 1103, 235
1672165260700, 236486, -366, 1104, 263
1672165260713, 236499, -373, 1080, 301
1672165260726, 236512, -368, 1050, 321
1672165260739, 236525, -353, 1032, 316
1672165260752, 236538, -341, 1045, 297
1672165260765, 236551, -308, 1030, 247
1672165260778, 236564, -304, 1004, 268
1672165260791, 236577, -305, 992, 245
1672165260804, 236590, -295, 1007, 287
1672165260817, 236603, -282, 1032, 362
1672165260830, 236616, -264, 1073, 429
1672165260843, 236629, -251, 1088, 453
1672165260856, 236642, -206, 1041, 377
1672165260869, 236655, -178, 1024, 425
1672165260882, 236668, -138, 1009, 409
1672165260895, 236681, -121, 985, 419
1672165260908, 236694, -126, 1016, 456
1672165260921, 236707, -120, 1037, 469
1672165260934, 236720, -116, 1041, 509
1672165260947, 236733, -90, 1030, 492
1672165260960, 236746, -67, 998, 463
1672165260973, 236759, -54, 984, 467
1672165260986, 236772, -45, 959, 440
1672165260999, 236785, -43, 963, 449
1672165261012, 236798, -49, 979, 462
1672165261025, 236811, -60, 1017, 454
1672165261038, 236824, -60, 1063, 455
1672165261052, 236837, -70, 1060, 481
1672165261064, 236850, -85, 1076, 500
1672165261077, 236863, -99, 1116, 504
1672165261090, 236876, -93, 1152, 552
1672165261103, 236889, -79, 1137, 556
1672165261117, 236902, -68, 1121, 540
1672165261129, 236915, -50, 1076, 485
1672165261142, 236928, -39, 1058, 492
1672165261155, 236941, -41, 1057, 513
1672165261169, 236954, -39, 1071, 516
1672165261181, 236967, -16, 1084, 519
1672165261194, 236980, 0, 1076, 546
1672165261207, 236993, 15, 1018, 514
1672165261220, 237006, 35, 975, 457
1672165261233, 237019, 45, 947, 418
1672165261245, 237032, 31, 948, 400
1672165261258, 237045, 13, 1007, 392
1672165261271, 237058, -2, 1074, 397
1672165261284, 237071, 4, 1083, 393
1672165261298, 237084, 8, 1049, 384
1672165261311, 237097, 23, 989, 323
1672165261324, 237110, 55, 946, 264
1672165261337, 237123, 90, 909, 250
1672165261350, 237136, 126, 904, 270
1672165261363, 237149, 158, 887, 306
1672165261376, 237162, 166, 909, 367
1672165261389, 237175, 163, 1017, 407
1672165261402, 237188, 151, 1092, 398
1672165261415, 237201, 169, 1112, 349
1672165261428, 237214, 201, 1057, 334
1672165261441, 237227, 238, 952, 310
1672165261454, 237240, 302, 874, 261
1672165261467, 237253, 335, 825, 251
1672165261480, 237266, 355, 791, 241
1672165261493, 237279, 361, 807, 229
1672165261506, 237292, 356, 832, 227
1672165261519, 237305, 350, 881, 256
1672165261532, 237318, 344, 938, 278
1672165261545, 237331, 348, 969, 287
1672165261558, 237344, 355, 943, 253
1672165261571, 237357, 367, 893, 207
1672165261584, 237370, 373, 826, 188
1672165261597, 237383, 380, 759, 124
1672165261610, 237396, 376, 729, 79
1672165261623, 237409, 357, 758, 72
1672165261636, 237422, 329, 803, 90
1672165261649, 237435, 312, 845, 105
1672165261662, 237448, 299, 859, 102
1672165261675, 237461, 297, 818, 83
1672165261688, 237474, 288, 779, 60
1672165261701, 237487, 292, 746, 38
