Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1672165322057, 297846, 77, 967, -3
1672165322070, 297859, 74, 977, -6
1672165322084, 297872, 77, 983, -1
1672165322096, 297885, 80, 980, 5
1672165322109, 297898, 79, 972, 1
1672165322122, 297911, 85, 966, -1
1672165322136, 297924, 91, 975, -10
1672165322149, 297937, 102, 971, -3
1672165322162, 297950, 105, 962, -5
1672165322175, 297963, 113, 957, -7
1672165322188, 297976, 112, 945, -10
1672165322201, 297989, 112, 948, -9
1672165322214, 298002, 108, 944, -10
1672165322227, 298015, 103, 952, -7
1672165322240, 298028, 101, 949, -5
1672165322252, 298041, 95, 945, -5
1672165322266, 298054, 84, 945, 5
1672165322278, 298067, 72, 961, 18
1672165322291, 298080, 61, 982, 15
1672165322305, 298093, 54, 1015, 11
1672165322317, 298106, 61, 1028, 2
1672165322331, 298119, 67, 1029, -2
1672165322344, 298132, 71, 1029, 0
1672165322356, 298145, 71, 1024, 4
1672165322369, 298158, 69, 1034, 8
1672165322382, 298171, 74, 1060, 2
1672165322396, 298184, 63, 1067, -9
1672165322409, 298197, 64, 1065, -10
1672165322422, 298210, 54, 1063, -2
1672165322435, 298223, 48, 1047, -5
1672165322447, 298236, 34, 1050, 3
1672165322461, 298249, 17, 1045, 15
1672165322473, 298262, -9, 1044, 5
1672165322487, 298275, -29, 1059, 1
1672165322501, 298288, -45, 1067, -5
1672165322513, 298301, -60, 1068, -8
1672165322526, 298314, -73, 1065, -4
1672165322539, 298327, -84, 1046, 0
1672165322552, 298340, -96, 1024, -14
1672165322566, 298353, -97, 998, -47
1672165322578, 298366, -101, 975, -57
1672165322591, 298379, -113, 968, -49
1672165322604, 298392, -121, 961, -53
1672165322618, 298405, -134, 944, -61
1672165322630, 298418, -142, 951, -81
1672165322643, 298431, -161, 968, -34
1672165322656, 298444, -167, 986, 1
1672165322669, 298457, -160, 973, -6
1672165322682, 298470, -153, 939, -52
1672165322695, 298483, -142, 905, -79
1672165322708, 298496, -138, 878, -94
1672165322721, 298509, -139, 852, -98
1672165322734, 298522, -141, 846, -112
1672165322747, 298535, -139, 867, -113
1672165322760, 298548, -141, 873, -86
1672165322773, 298561, -128, 870, -49
1672165322786, 298574, -118, 840, -33
1672165322799, 298587, -109, 799, -36
1672165322812, 298600, -98, 760, -39
1672165322825, 298613, -90, 734, -28
1672165322838, 298626, -90, 716, -25
1672165322851, 298639, -77, 732, -45
1672165322864, 298652, -78, 745, -68
1672165322877, 298665, -87, 737, -43
1672165322890, 298678, -65, 751, -37
1672165322903, 298691, -34, 746, -42
1672165322917, 298704, 4, 728, -23
1672165322928, 298717, 38, 703, 11
1672165322941, 298730, 78, 676, 20
1672165322955, 298743, 108, 650, 19
1672165322968, 298756, 122, 661, 26
1672165322981, 298769, 119, 721, 39
1672165322993, 298782, 129, 783, 46
1672165323007, 298795, 151, 796, 76
1672165323020, 298808, 181, 788, 105
1672165323033, 298821, 221, 743, 133
1672165323046, 298834, 256, 668, 146
1672165323059, 298847, 272, 656, 140
1672165323072, 298860, 283, 689, 139
1672165323085, 298873, 282, 704, 118
1672165323098, 298886, 264, 767, 136
1672165323111, 298899, 274, 763, 142
1672165323124, 298912, 266, 784, 191
1672165323137, 298925, 266, 814, 239
1672165323150, 298938, 248, 763, 212
1672165323163, 298951, 239, 804, 169
1672165323176, 298964, 205, 906, 203
1672165323189, 298977, 151, 999, 263
1672165323202, 298990, 85, 1043, 434
1672165323215, 299003, 149, 1222, 248
1672165323228, 299016, 124, 1207, 426
1672165323241, 299029, 111, 1220, 441
1672165323254, 299042, 113, 1245, 437
1672165323267, 299055, 121, 1227, 431
1672165323280, 299068, 115, 1169, 384
1672165323293, 299081, 80, 1115, 322
1672165323306, 299094, 26, 1041, 250
1672165323319, 299107, -10, 1107, 255
1672165323332, 299120, -6, 1245, 406
1672165323345, 299133, -30, 1346, 589
1672165323358, 299146, -25, 1413, 723
1672165323371, 299159, -19, 1321, 692
1672165323384, 299172, -7, 1166, 541
1672165323397, 299185, -34, 1053, 493
1672165323410, 299198, -102, 987, 452
1672165323423, 299211, -169, 988, 417
1672165323436, 299224, -224, 1071, 409
1672165323449, 299237, -266, 1207, 526
1672165323462, 299250, -283, 1267, 598
1672165323475, 299263, -283, 1256, 595
1672165323488, 299276, -272, 1223, 547
1672165323501, 299289, -254, 1134, 482
1672165323514, 299302, -257, 1040, 422
1672165323527, 299315, -272, 1009, 404
1672165323540, 299328, -277, 991, 378
1672165323553, 299341, -276, 1005, 402
1672165323567, 299354, -273, 1049, 422
1672165323579, 299367, -262, 1050, 416
1672165323592, 299380, -260, 1028, 398
1672165323605, 299393, -272, 1008, 401
1672165323618, 299406, -297, 969, 383
1672165323631, 299419, -305, 990, 358
1672165323644, 299432, -319, 1041, 356
1672165323657, 299445, -331, 1094, 348
1672165323670, 299458, -323, 1120, 349
1672165323684, 299471, -293, 1075, 349
1672165323696, 299484, -280, 1000, 380
1672165323709, 299497, -267, 937, 406
1672165323722, 299510, -263, 900, 386
1672165323735, 299523, -279, 868, 369
1672165323748, 299536, -291, 877, 291
1672165323761, 299549, -330, 926, 234
1672165323774, 299562, -382, 1032, 240
1672165323787, 299575, -407, 1085, 225
1672165323800, 299588, -416, 1097, 276
1672165323813, 299601, -407, 1078, 329
1672165323826, 299614, -396, 1023, 342
1672165323839, 299627, -392, 991, 263
1672165323852, 299640, -381, 959, 189
1672165323865, 299653, -396, 926, 177
1672165323878, 299666, -404, 940, 225
1672165323891, 299679, -399, 945, 271
1672165323904, 299692, -409, 935, 297
1672165323917, 299705, -398, 924, 253
1672165323930, 299718, -402, 884, 228
1672165323943, 299731, -415, 894, 194
1672165323956, 299744, -434, 928, 171
1672165323969, 299757, -451, 927, 142
1672165323982, 299770, -442, 927, 144
1672165323994, 299783, -447, 914, 182
1672165324007, 299796, -422, 905, 229
1672165324020, 299809, -404, 868, 224
1672165324033, 299822, -412, 846, 187
1672165324046, 299835, -439, 870, 175
1672165324059, 299848, -464, 897, 151
