Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1672165097933, 73713, 3, 952, -193
1672165097945, 73726, 3, 955, -194
1672165097958, 73739, 2, 962, -183
1672165097971, 73752, 0, 966, -178
1672165097984, 73765, 7, 965, -188
1672165097997, 73778, 5, 966, -183
1672165098010, 73791, 6, 961, -195
1672165098023, 73804, 3, 959, -193
1672165098036, 73817, 0, 963, -182
1672165098050, 73830, 0, 966, -182
1672165098062, 73843, 1, 966, -198
1672165098075, 73856, 4, 966, -194
1672165098088, 73869, 5, 961, -190
1672165098102, 73882, 5, 958, -189
1672165098114, 73895, 7, 961, -188
1672165098127, 73908, 9, 966, -184
1672165098140, 73921, 10, 959, -182
1672165098153, 73934, 14, 953, -188
1672165098167, 73947, 12, 950, -187
1672165098179, 73960, 19, 946, -195
1672165098192, 73973, 19, 949, -189
1672165098205, 73986, 23, 949, -197
1672165098218, 73999, 15, 946, -187
1672165098231, 74012, 13, 951, -198
1672165098244, 74025, 8, 960, -193
1672165098257, 74038, 5, 967, -192
1672165098270, 74051, 7, 967, -190
1672165098283, 74064, 5, 966, -189
1672165098296, 74077, 8, 964, -190
1672165098309, 74090, 14, 963, -181
1672165098322, 74103, 9, 963, -175
1672165098335, 74116, 7, 967, -180
1672165098348, 74129, 9, 969, -194
1672165098361, 74142, 9, 962, -199
1672165098374, 74155, 15, 949, -202
1672165098387, 74168, 17, 951, -196
1672165098401, 74181, 11, 944, -187
1672165098413, 74194, 13, 956, -181
1672165098426, 74207, 11, 953, -183
1672165098439, 74220, 14, 948, -194
1672165098452, 74233, 14, 938, -195
1672165098466, 74246, 11, 936, -196
1672165098478, 74259, 16, 936, -202
1672165098491, 74272, 17, 933, -185
1672165098504, 74285, 9, 939, -190
1672165098518, 74298, 17, 925, -206
1672165098530, 74311, 14, 896, -212
1672165098543, 74324, 11, 907, -209
1672165098556, 74337, 15, 907, -178
1672165098569, 74350, 4, 883, -159
1672165098583, 74363, 15, 905, -145
1672165098595, 74376, 18, 866, -117
1672165098608, 74389, 29, 815, -109
1672165098621, 74402, 25, 764, -74
1672165098635, 74415, 22, 705, -47
1672165098647, 74428, 15, 648, -3
1672165098660, 74441, 21, 600, 26
1672165098673, 74454, 37, 547, 34
1672165098686, 74467, 91, 551, 47
1672165098700, 74480, 131, 486, 33
1672165098712, 74493, 117, 437, 29
1672165098725, 74506, 112, 394, -58
1672165098738, 74519, 89, 441, -44
1672165098751, 74532, 60, 473, -89
1672165098764, 74545, 34, 486, -67
1672165098777, 74558, -8, 585, -15
1672165098790, 74571, 23, 594, -2
1672165098803, 74584, 60, 518, 4
1672165098817, 74597, 58, 476, -49
1672165098829, 74610, 64, 405, -218
1672165098842, 74623, 17, 458, -251
1672165098856, 74636, -23, 560, -231
1672165098868, 74649, -43, 680, -186
1672165098881, 74662, -50, 756, -129
1672165098894, 74675, -23, 803, -57
1672165098907, 74688, 83, 870, 44
1672165098921, 74701, 107, 719, -221
1672165098935, 74714, 89, 664, -70
1672165098946, 74727, 33, 717, -124
1672165098959, 74740, -101, 959, -3
1672165098972, 74753, -105, 1176, 84
1672165098985, 74766, -123, 1378, 232
1672165098999, 74779, -23, 1348, 335
1672165099011, 74792, 56, 1080, 308
1672165099024, 74805, 23, 866, 223
1672165099038, 74818, 142, 868, -116
1672165099050, 74831, 43, 917, 133
1672165099063, 74844, -50, 1243, 349
1672165099076, 74857, -138, 1450, 571
1672165099089, 74870, -116, 1545, 616
1672165099102, 74883, -60, 1501, 497
1672165099116, 74896, -78, 1411, 473
1672165099128, 74909, -13, 1279, 247
1672165099141, 74922, -20, 1210, 377
1672165099155, 74935, -5, 1192, 389
1672165099169, 74948, -120, 1278, 616
1672165099181, 74961, -116, 1481, 722
1672165099193, 74974, -90, 1432, 778
1672165099206, 74987, -24, 1215, 766
1672165099220, 75000, -10, 1109, 752
1672165099233, 75013, -63, 1120, 693
1672165099245, 75026, -119, 1243, 726
1672165099258, 75039, -134, 1295, 703
