Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1672165164997, 140780, 10, 949, 163
1672165165010, 140793, 10, 955, 162
1672165165023, 140806, 14, 961, 167
1672165165036, 140819, 11, 959, 168
1672165165049, 140832, 14, 967, 168
1672165165062, 140845, 17, 960, 176
1672165165075, 140858, 18, 958, 178
1672165165088, 140871, 24, 954, 181
1672165165101, 140884, 17, 965, 183
1672165165114, 140897, 13, 955, 159
1672165165127, 140910, 18, 954, 164
1672165165140, 140923, 11, 942, 156
1672165165153, 140936, 12, 939, 152
1672165165166, 140949, 11, 941, 148
1672165165179, 140962, 7, 947, 145
1672165165192, 140975, 11, 950, 145
1672165165205, 140988, 6, 946, 142
1672165165218, 141001, 5, 949, 141
1672165165231, 141014, 5, 947, 147
1672165165244, 141027, 7, 955, 158
1672165165257, 141040, 3, 957, 157
1672165165270, 141053, 1, 956, 165
1672165165284, 141066, 5, 955, 158
1672165165296, 141079, -3, 963, 168
1672165165309, 141092, -5, 976, 174
1672165165322, 141105, -5, 975, 179
1672165165335, 141118, -2, 970, 166
1672165165348, 141131, -1, 961, 164
1672165165361, 141144, -1, 961, 147
1672165165374, 141157, -6, 972, 163
1672165165387, 141170, -11, 972, 171
1672165165400, 141183, -12, 966, 158
1672165165413, 141196, -15, 966, 145
1672165165426, 141209, -16, 970, 156
1672165165439, 141222, -17, 970, 174
1672165165452, 141235, -39, 975, 161
1672165165465, 141248, -60, 1007, 150
1672165165478, 141261, -74, 1039, 149
1672165165491, 141274, -85, 1056, 146
1672165165504, 141287, -83, 1063, 141
1672165165517, 141300, -87, 1045, 117
1672165165530, 141313, -98, 1035, 116
1672165165543, 141326, -112, 1035, 123
1672165165556, 141339, -103, 1053, 132
1672165165569, 141352, -102, 1062, 162
1672165165582, 141365, -108, 1068, 169
1672165165595, 141378, -120, 1069, 131
1672165165608, 141391, -125, 1038, 70
1672165165621, 141404, -160, 1046, 88
1672165165635, 141417, -206, 1075, 112
1672165165647, 141430, -214, 1159, 47
1672165165660, 141443, -261, 1148, 118
1672165165673, 141456, -257, 1127, 137
1672165165686, 141469, -216, 1113, 51
1672165165699, 141482, -209, 1057, 61
1672165165712, 141495, -223, 1010, 59
1672165165725, 141508, -234, 1002, 38
1672165165738, 141521, -260, 1045, 14
1672165165751, 141534, -317, 1129, 34
1672165165764, 141547, -342, 1207, 43
1672165165777, 141560, -328, 1181, 37
1672165165790, 141573, -281, 1107, 78
1672165165803, 141586, -233, 999, 80
1672165165817, 141599, -205, 839, 57
1672165165829, 141612, -192, 681, 91
1672165165842, 141625, -182, 607, -88
1672165165855, 141638, -191, 681, -156
1672165165868, 141651, -222, 847, -183
1672165165882, 141664, -294, 1043, -69
1672165165894, 141677, -293, 1157, 27
1672165165907, 141690, -232, 1161, 119
1672165165920, 141703, -173, 1033, 145
1672165165933, 141716, -125, 854, 79
1672165165946, 141729, -111, 725, 13
1672165165959, 141742, -99, 694, -18
1672165165972, 141755, -112, 770, 55
1672165165985, 141768, -137, 890, 56
1672165165998, 141781, -140, 1045, 77
1672165166011, 141794, -138, 1145, 167
1672165166024, 141807, -85, 1093, 267
1672165166037, 141820, -6, 981, 284
1672165166050, 141833, 54, 862, 262
1672165166063, 141846, 88, 772, 206
1672165166076, 141859, 114, 736, 159
1672165166089, 141872, 104, 753, 153
