Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1672165204074, 179858, 161, 957, 74
1672165204087, 179871, 162, 957, 66
1672165204100, 179884, 167, 953, 42
1672165204113, 179897, 159, 950, 34
1672165204126, 179910, 167, 953, 54
1672165204139, 179923, 163, 952, 65
1672165204152, 179936, 158, 954, 62
1672165204165, 179949, 161, 957, 48
1672165204178, 179962, 155, 958, 45
1672165204191, 179975, 156, 959, 50
1672165204204, 179988, 156, 963, 43
1672165204217, 180001, 158, 959, 44
1672165204230, 180014, 163, 957, 43
1672165204243, 180027, 169, 951, 55
1672165204256, 180040, 167, 950, 56
1672165204269, 180053, 166, 955, 46
1672165204282, 180066, 169, 961, 45
1672165204295, 180079, 172, 972, 52
1672165204308, 180092, 181, 971, 56
1672165204321, 180105, 190, 972, 58
1672165204334, 180118, 195, 973, 63
1672165204347, 180131, 205, 978, 55
1672165204360, 180144, 217, 998, 56
1672165204373, 180157, 240, 1018, 37
1672165204386, 180170, 260, 1013, 61
1672165204399, 180183, 266, 1007, 77
1672165204412, 180196, 264, 1009, 81
1672165204425, 180209, 270, 1013, 58
1672165204438, 180222, 275, 1033, 45
1672165204451, 180235, 298, 1074, 79
1672165204464, 180248, 285, 1069, 108
1672165204477, 180261, 289, 1058, 36
1672165204490, 180274, 311, 1043, 13
1672165204503, 180287, 325, 1028, 33
1672165204516, 180300, 366, 1032, 22
1672165204529, 180313, 384, 1010, 41
1672165204542, 180326, 386, 976, -44
1672165204555, 180339, 367, 934, -28
1672165204568, 180352, 363, 909, -46
1672165204581, 180365, 351, 912, -56
1672165204594, 180378, 335, 915, -63
1672165204607, 180391, 329, 937, -60
1672165204620, 180404, 336, 958, -87
1672165204633, 180417, 312, 931, -44
1672165204646, 180430, 333, 876, -60
1672165204659, 180443, 331, 858, -45
1672165204672, 180456, 329, 846, -56
1672165204685, 180469, 297, 848, -84
1672165204698, 180482, 265, 848, -90
1672165204711, 180495, 229, 862, -75
1672165204724, 180508, 219, 903, -85
1672165204737, 180521, 230, 915, -32
1672165204750, 180534, 240, 887, 2
1672165204763, 180547, 249, 871, 30
1672165204776, 180560, 253, 835, 56
1672165204789, 180573, 237, 775, 75
1672165204802, 180586, 155, 714, 79
1672165204815, 180599, 188, 770, -22
1672165204828, 180612, 157, 764, -34
1672165204841, 180625, 152, 803, -43
1672165204854, 180638, 127, 820, 49
1672165204867, 180651, 99, 837, 91
1672165204880, 180664, 59, 830, 105
1672165204893, 180677, 31, 797, 70
1672165204906, 180690, 25, 786, 12
1672165204918, 180703, 7, 763, 68
1672165204932, 180716, 19, 734, -28
1672165204944, 180729, -8, 761, -3
1672165204958, 180742, -30, 851, 192
1672165204972, 180755, -41, 966, 332
1672165204984, 180768, -36, 966, 333
1672165204997, 180781, -34, 911, 261
1672165205010, 180794, -62, 844, 232
1672165205023, 180807, -108, 782, 206
1672165205036, 180820, -163, 771, 158
1672165205050, 180833, -206, 849, 169
1672165205062, 180846, -238, 928, 288
1672165205075, 180859, -244, 980, 362
1672165205088, 180872, -246, 979, 379
1672165205102, 180885, -250, 960, 355
1672165205114, 180898, -256, 935, 349
1672165205127, 180911, -285, 952, 395
1672165205140, 180924, -292, 964, 272
1672165205153, 180937, -333, 965, 311
1672165205166, 180950, -362, 1035, 293
1672165205179, 180963, -352, 1093, 337
1672165205192, 180976, -356, 1043, 340
1672165205205, 180989, -350, 1002, 299
1672165205218, 181002, -350, 994, 244
1672165205231, 181015, -347, 1003, 228
1672165205244, 181028, -346, 1026, 229
1672165205257, 181041, -349, 1049, 237
1672165205270, 181054, -358, 1074, 260
1672165205283, 181067, -355, 1065, 240
1672165205296, 181080, -355, 1079, 262
1672165205309, 181093, -358, 1063, 237
1672165205322, 181106, -363, 1052, 200
1672165205335, 181119, -353, 1058, 185
1672165205348, 181132, -339, 1086, 209
1672165205361, 181145, -328, 1085, 197
1672165205374, 181158, -299, 1076, 192
1672165205387, 181171, -288, 1045, 236
1672165205400, 181184, -301, 1032, 273
1672165205413, 181197, -318, 1028, 282
1672165205426, 181210, -325, 1033, 237
1672165205439, 181223, -322, 1018, 224
1672165205452, 181236, -307, 1028, 257
1672165205465, 181249, -313, 981, 289
1672165205478, 181262, -301, 997, 276
1672165205491, 181275, -321, 970, 299
1672165205504, 181288, -323, 966, 229
1672165205517, 181301, -315, 968, 218
1672165205530, 181314, -309, 959, 218
1672165205543, 181327, -301, 952, 210
1672165205556, 181340, -286, 937, 173
1672165205569, 181353, -280, 943, 146
1672165205582, 181366, -275, 934, 179
1672165205595, 181379, -262, 940, 230
1672165205608, 181392, -251, 955, 249
1672165205621, 181405, -234, 947, 214
1672165205634, 181418, -209, 931, 136
1672165205647, 181431, -192, 943, 106
1672165205660, 181444, -185, 954, 132
1672165205673, 181457, -177, 957, 166
1672165205686, 181470, -169, 929, 216
1672165205699, 181483, -145, 900, 218
1672165205712, 181496, -126, 897, 165
1672165205725, 181509, -102, 911, 78
1672165205738, 181522, -82, 942, 88
1672165205751, 181535, -56, 941, 116
1672165205764, 181548, -52, 914, 186
1672165205777, 181561, -43, 887, 187
1672165205790, 181574, -26, 878, 166
1672165205803, 181587, -10, 908, 110
1672165205816, 181600, 12, 935, 103
1672165205828, 181613, 44, 933, 84
1672165205841, 181626, 64, 900, 94
1672165205855, 181639, 80, 861, 105
1672165205868, 181652, 100, 836, 114
1672165205881, 181665, 123, 834, 134
1672165205894, 181678, 153, 841, 121
1672165205907, 181691, 182, 859, 119
1672165205920, 181704, 213, 866, 126
1672165205934, 181717, 216, 893, 109
1672165205946, 181730, 212, 938, 124
1672165205959, 181743, 226, 950, 88
1672165205972, 181756, 263, 965, 64
1672165205985, 181769, 304, 921, 65
1672165205998, 181782, 328, 851, 56
1672165206011, 181795, 342, 805, -11
1672165206024, 181808, 365, 781, -30
1672165206037, 181821, 388, 776, -13
1672165206049, 181834, 398, 794, 5
1672165206063, 181847, 396, 833, -22
1672165206076, 181860, 394, 895, -53
1672165206089, 181873, 398, 925, -47
1672165206102, 181886, 398, 935, -56
1672165206115, 181899, 392, 935, -38
1672165206127, 181912, 387, 926, -65
1672165206141, 181925, 383, 931, -79
1672165206154, 181938, 379, 934, -82
1672165206167, 181951, 374, 948, -86
1672165206180, 181964, 367, 961, -81
1672165206193, 181977, 358, 964, -68
1672165206206, 181990, 350, 972, -61
1672165206219, 182003, 344, 985, -75
1672165206232, 182016, 352, 989, -78
1672165206245, 182029, 364, 992, -105
1672165206258, 182042, 384, 916, -121
1672165206271, 182055, 363, 826, -64
1672165206284, 182068, 290, 820, -13
1672165206296, 182081, 223, 888, 7
1672165206310, 182094, 178, 975, -3
1672165206323, 182107, 138, 1071, 29
1672165206336, 182120, 122, 1128, 37
1672165206349, 182133, 127, 1133, 61
1672165206362, 182146, 145, 1086, 52
1672165206375, 182159, 169, 998, 30
1672165206388, 182172, 183, 927, 17
1672165206401, 182185, 183, 882, 6
1672165206414, 182198, 183, 878, -7
1672165206426, 182211, 158, 900, 0
1672165206440, 182224, 141, 950, 21
1672165206453, 182237, 126, 984, 48
1672165206466, 182250, 117, 996, 59
1672165206479, 182263, 114, 993, 59
1672165206492, 182276, 112, 981, 43
1672165206505, 182289, 104, 972, 14
1672165206518, 182302, 101, 974, 13
1672165206531, 182315, 103, 986, 17
