Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1672165086584, 62364, -19, 955, 82
1672165086597, 62377, -24, 983, 95
1672165086610, 62390, -25, 999, 111
1672165086623, 62403, -27, 995, 94
1672165086636, 62416, -28, 994, 88
1672165086650, 62429, -28, 976, 98
1672165086662, 62442, -26, 972, 103
1672165086676, 62455, -24, 977, 89
1672165086688, 62468, -25, 978, 90
1672165086701, 62481, -31, 983, 93
1672165086714, 62494, -27, 981, 86
1672165086727, 62507, -17, 966, 87
1672165086740, 62520, -17, 962, 97
1672165086753, 62533, -8, 958, 89
1672165086766, 62546, -4, 951, 93
1672165086778, 62559, 0, 952, 98
1672165086792, 62572, -4, 948, 106
1672165086805, 62585, -5, 958, 102
1672165086818, 62598, -8, 958, 112
1672165086831, 62611, -5, 952, 117
1672165086844, 62624, -5, 954, 114
1672165086857, 62637, -10, 955, 116
1672165086870, 62650, -22, 973, 110
1672165086884, 62663, -26, 994, 120
1672165086896, 62676, -27, 991, 126
1672165086909, 62689, -19, 982, 119
1672165086922, 62702, -16, 969, 116
1672165086935, 62715, -20, 964, 121
1672165086949, 62728, -24, 971, 136
1672165086961, 62741, -34, 978, 128
1672165086975, 62754, -27, 992, 107
1672165086987, 62767, -23, 1000, 102
1672165087000, 62780, -22, 991, 116
1672165087013, 62793, -17, 995, 131
1672165087026, 62806, -19, 1007, 130
1672165087039, 62819, -25, 1016, 123
1672165087052, 62832, -23, 1018, 83
1672165087066, 62845, -14, 1017, 77
1672165087078, 62858, -11, 1015, 81
1672165087091, 62871, -5, 1058, 78
1672165087104, 62884, -12, 1113, 102
1672165087117, 62897, -45, 1169, 80
1672165087130, 62910, -71, 1221, 34
1672165087143, 62923, -100, 1349, 105
1672165087156, 62936, -121, 1417, 180
1672165087169, 62949, -112, 1440, 221
1672165087182, 62962, -80, 1425, 243
1672165087195, 62975, -42, 1366, 166
1672165087208, 62988, -34, 1251, 119
1672165087221, 63001, -17, 1223, 47
1672165087234, 63014, -40, 1242, 104
1672165087247, 63027, -61, 1323, 125
1672165087260, 63040, -120, 1375, 209
1672165087273, 63053, -140, 1473, 257
1672165087286, 63066, -159, 1504, 257
1672165087300, 63079, -149, 1428, 99
1672165087312, 63092, -135, 1278, -78
1672165087325, 63105, -125, 1174, -132
1672165087338, 63118, -111, 1118, -108
1672165087352, 63131, -87, 1114, -58
1672165087364, 63144, -95, 1103, 16
1672165087377, 63157, -111, 1141, 45
1672165087390, 63170, -144, 1199, 54
1672165087404, 63183, -143, 1224, -20
1672165087417, 63196, -124, 1195, -38
1672165087429, 63209, -91, 1050, -29
1672165087442, 63222, -65, 925, -83
1672165087456, 63235, -52, 845, -79
1672165087468, 63248, -38, 787, -99
1672165087482, 63261, -64, 805, -118
1672165087494, 63274, -79, 871, -133
1672165087507, 63287, -122, 935, -68
1672165087521, 63300, -124, 996, -10
1672165087534, 63313, -128, 974, 86
1672165087546, 63326, -94, 850, -13
1672165087559, 63339, -74, 769, -68
1672165087572, 63352, -60, 640, -126
1672165087585, 63365, -49, 618, -86
1672165087599, 63378, -65, 689, 98
1672165087611, 63391, -95, 737, 107
1672165087625, 63404, -111, 818, 45
1672165087637, 63417, -127, 816, -31
1672165087651, 63430, -114, 751, -84
1672165087664, 63443, -86, 689, -55
1672165087676, 63456, -67, 613, -15
1672165087690, 63469, -51, 593, -59
1672165087702, 63482, -48, 619, -108
1672165087715, 63495, -56, 665, -107
1672165087727, 63508, -42, 710, -99
1672165087740, 63521, -38, 727, -42
1672165087754, 63534, -35, 749, -24
1672165087767, 63547, -33, 717, -27
1672165087779, 63560, -25, 694, -90
1672165087792, 63573, -29, 660, -120
1672165087806, 63586, -9, 641, -181
1672165087818, 63599, 11, 650, -237
1672165087832, 63612, 11, 675, -241
1672165087844, 63625, 16, 699, -223
1672165087858, 63638, 5, 711, -210
1672165087871, 63651, 5, 750, -194
1672165087883, 63664, -7, 791, -167
1672165087897, 63677, -14, 820, -200
1672165087910, 63690, -12, 800, -261
1672165087923, 63703, -13, 763, -270
1672165087935, 63716, -22, 764, -236
1672165087949, 63729, -31, 802, -215
1672165087962, 63742, -36, 814, -247
1672165087975, 63755, -43, 825, -259
1672165087988, 63768, -56, 799, -274
1672165088001, 63781, -49, 773, -316
1672165088014, 63794, -45, 734, -321
1672165088026, 63807, -39, 708, -323
1672165088040, 63820, -32, 677, -323
1672165088053, 63833, -43, 684, -277
1672165088066, 63846, -32, 706, -228
1672165088079, 63859, -27, 729, -190
1672165088092, 63872, -22, 720, -210
1672165088105, 63885, -5, 733, -199
1672165088117, 63898, 3, 709, -191
1672165088131, 63911, 8, 712, -190
1672165088144, 63924, 17, 725, -198
1672165088157, 63937, 22, 755, -195
1672165088170, 63950, -1, 797, -154
1672165088183, 63963, -22, 815, -171
1672165088196, 63976, -37, 823, -192
1672165088209, 63989, -61, 821, -171
1672165088222, 64002, -63, 816, -172
1672165088235, 64015, -51, 777, -181
1672165088248, 64028, -53, 705, -174
1672165088261, 64041, -71, 642, -212
1672165088274, 64054, -102, 589, -274
1672165088287, 64067, -136, 663, -326
1672165088300, 64080, -157, 822, -259
1672165088313, 64093, -103, 901, -207
1672165088326, 64106, -71, 872, -85
1672165088339, 64119, -51, 765, -112
1672165088352, 64132, -40, 653, -180
1672165088365, 64145, -43, 606, -254
1672165088378, 64158, -57, 716, -332
1672165088391, 64171, -69, 823, -321
1672165088404, 64184, -30, 933, -321
1672165088417, 64197, 8, 977, -203
1672165088430, 64210, 45, 947, -203
1672165088443, 64223, 70, 850, -251
1672165088456, 64236, 80, 763, -266
1672165088469, 64249, 64, 739, -326
1672165088482, 64262, -5, 792, -334
1672165088495, 64275, -25, 962, -362
1672165088508, 64288, -52, 1131, -319
1672165088521, 64301, -23, 1124, -399
1672165088534, 64314, 10, 1191, -256
1672165088547, 64327, 68, 1054, -332
1672165088560, 64340, 59, 889, -282
1672165088573, 64353, -10, 863, -344
1672165088586, 64366, -97, 967, -357
1672165088599, 64379, -150, 1153, -399
1672165088612, 64392, -158, 1366, -316
1672165088625, 64405, -140, 1459, -133
1672165088638, 64418, -101, 1492, 12
1672165088651, 64431, -72, 1436, 84
1672165088664, 64444, -82, 1331, 54
1672165088677, 64457, -82, 1281, 3
1672165088690, 64470, -87, 1113, -253
1672165088703, 64483, -107, 1088, -324
1672165088716, 64496, -110, 1082, -264
1672165088729, 64509, -118, 1140, -179
1672165088742, 64522, -130, 1192, -95
1672165088755, 64535, -128, 1168, -65
1672165088768, 64548, -106, 1177, -75
1672165088781, 64561, -91, 1130, -70
1672165088794, 64574, -91, 1091, -73
1672165088807, 64587, -104, 1102, -43
1672165088820, 64600, -109, 1137, 4
1672165088833, 64613, -101, 1155, 59
1672165088846, 64626, -91, 1157, 104
1672165088859, 64639, -95, 1146, 129
1672165088872, 64652, -98, 1165, 135
1672165088885, 64665, -85, 1155, 140
1672165088898, 64678, -62, 1125, 147
1672165088911, 64691, -27, 1054, 120
1672165088923, 64704, 4, 998, 84
1672165088936, 64717, 20, 958, 62
1672165088949, 64730, 15, 949, 68
1672165088962, 64743, 15, 958, 74
1672165088975, 64756, 10, 982, 105
1672165088988, 64769, 5, 1008, 131
1672165089001, 64782, 4, 1002, 161
1672165089014, 64795, 7, 995, 161
1672165089027, 64808, 3, 990, 174
1672165089040, 64821, 1, 986, 180
1672165089054, 64834, -12, 1005, 182
1672165089067, 64847, -27, 1022, 164
1672165089080, 64860, -39, 1034, 135
1672165089093, 64873, -36, 1036, 105
1672165089106, 64886, -31, 1035, 113
1672165089119, 64899, -26, 1018, 115
1672165089132, 64912, -18, 1017, 112
1672165089145, 64925, -11, 1011, 112
1672165089158, 64938, -12, 994, 108
1672165089170, 64951, -9, 992, 107
1672165089183, 64964, -9, 987, 108
1672165089197, 64977, -15, 984, 110
1672165089210, 64990, -13, 984, 113
1672165089223, 65003, -17, 985, 116
1672165089236, 65016, -22, 990, 125
1672165089249, 65029, -16, 980, 134
1672165089261, 65042, -7, 965, 135
1672165089274, 65055, -2, 951, 119
1672165089287, 65068, 3, 949, 116
1672165089300, 65081, 4, 956, 125
